Dist,schoolName,Q1,Q2,Q3,Q4,Q5A,Q6,Q7,Q8,Q9,Q10,Q11,totalCriteria,percCriteria,totalPop2011,adolescentPop,youthPopn,SCPropRURAL,SCPropURBAN,SCPropTOTAL,STPropRURAL,STPropURBAN,STPropTOTAL,GDDP_curr,NDDP_curr,GDDP_const,NDDP_const,pcNDDP,avg_MPCE_RURAL,foodShareExpenseRURAL,avg_MPCE_URBAN,foodShareExpenseURBAN,rationYBPL,rationYAAY,rationSAPL,rationAnna,rationWhite,totRC,avg_pccRURAL,iopRURAL,LzRatioRURAL,avg_pccURBAN,iopURBAN,LzRatioURBAN,TotRdLength,APPTWAMainW,APPTWAMarginalW,youthPopAsWorker,youthPopAsMWorker,HDI_2001,HDI_2011,HDIRS_2001,HDIRS_2011,IMR_2010,pcHealthExpenseRURAL,pcHealthExpenseRURALURBAN,popPerSubCentre,popPerPHC,popPerRH,popPerGovBed,sex_ratio_dist,POAGHF,POAPHF,POACBS,anyANC,fullNatalCare,pWomenHospDeliveries,homeDeliveries,homeDeliveries_assist,percSafeDeliveries,childSexRatio,avgHHperNH,avgHHperHH,litRateM,litRateF,litRateT,litRateSC,litRateSC.1,APL,youthPopLit,SHSAP,secondarySec,ROSWUPSTSS,numSchoolsTot,numGovSchools,numPrivASchools,numPrivNASchools,percHH_Has_TapWtr,percHH_Has_Toilet,unemploymentRT,percPassSSC,EngMedium,SchoolInfrastructure,numRoom,haveComputer,haveInternet,haveELearning,haveToilets,haveToiletsF,playground,sports,extraCurrLevel,localTrust,ruleFollow,remark,prcplGender,prcplAge,prcplMaritalStatus,prcplIfChild,prcplSpouseEdu,prcplSpouseWork,prcplSpouseOccu,prcplIncome,prcplEdu,prcplScheme,prcplSchemeName,prcplEduYear,prcplSchemeOther,prcplSchemeOtherName,prcplWorkYear,prcplWorkYearOther,prcplInternetSavy,prcplSmartPhone,prcplUsedTobacco,prcplUsingTobacco,prcplUsingQuan,prcplchoolAward,numGuestLec,tbccoUseProb,tbccoFreeGood,staffNotDemandTF,staffNotForceStopTbcco,isTrusteesActive,BlockStaffCom,BlockStaffHelpTF,staffReceivdTrainTF,schoolLeadsExCuPr,isChangeDifficult,isChangeEasy,teachDiscChallenges,canDiscChangeTeach,mstTeachNotInterest,mstTeachPrivateLessons,mstTeachGoodAcademics,mstTeachGoodExCurr,mstTeachSelfDevelopment,mstTeachParticipateExCurr,teachNeedReminders,mstParentsSchoolEvents,parentsTbccoBigThreat,mstParentsReqTF,teachNumTraining,teachAwardsGov,isPTA,parentEduLevl,percPassHSC,distPerfEdu,MEnroll1,MEnroll2,MEnroll3,FEnroll1,FEnroll2,FEnroll3,totEnroll1,totEnroll2,totEnroll3,POTOC,numMTeach,numFTeach,teachStudRat,MtoFTeachRat,numBlank ,tobaccoFree
Sangali,Z.P.School wajarawad ,1,1,1,1,1,1,1,1,1,1,1,11,100.0,2822.0,18.3,18.2,12.0,14.0,12.5,0.6,0.8,0.6,34117.0,31070.0,20042.0,18153.0,103588.0,583.9,55.7,685.9,53.0,69604.0,35605.0,486125.0,1007.0,73360.0,665701.0,583.9,12.1,33.9,685.9,61.7,34.1,10245.0,3.6,1.2,11.4,2.4,0.7,0.7,Very High,Very High,20.0,131.0,355.0,6963.0,37767.0,148549.0,2176.3,966.0,47.8,55.0,1.4,97.3,49.7,76.1,24.3,2.8,78.9,867.0,4.7,3.6,88.2,74.6,81.5,78.0,76.2,96.1,95.1,1157.0,602.0,1.9,615.0,2.0,528.0,85.0,67.3,,706036.0,94.4,Marathi,Pucca,7.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,proactive,active,1.0,38.0,3.0,2.0,DED,2.0,House Wife,1.0,BA,2.0,,2.0,2.0,,7.0,4.0,3.0,2.0,2.0,2.0,,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4,1.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,8.0,1.0,1.0,secondary,94.43,,,,,,,,,,,,,,,,16,1.0
Sangali,Kamrak Hihg School,1,1,1,1,1,1,1,1,1,1,1,11,100.0,2822.0,18.3,18.2,12.0,14.0,12.5,0.6,0.8,0.6,34117.0,31070.0,20042.0,18153.0,103588.0,583.9,55.7,685.9,53.0,69604.0,35605.0,486125.0,1007.0,73360.0,665701.0,583.9,12.1,33.9,685.9,61.7,34.1,10245.0,3.6,1.2,11.4,2.4,0.7,0.7,Very High,Very High,20.0,131.0,355.0,6963.0,37767.0,148549.0,2176.3,966.0,47.8,55.0,1.4,97.3,49.7,76.1,24.3,2.8,78.9,867.0,4.7,3.6,88.2,74.6,81.5,78.0,76.2,96.1,95.1,1157.0,602.0,1.9,615.0,2.0,528.0,85.0,67.3,,706036.0,94.4,Marathi,Pucca,4.0,1.0,1.0,2.0,1.0,1.0,1.0,District Level,Cluster Level ,active,proactive,active,1.0,57.0,3.0,1.0,BED,2.0,House Wife,1.0,BA,2.0,,2.0,2.0,,13.0,2.0,3.0,2.0,2.0,2.0,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,secondary,94.43,,,,,,,,,,,,,,,,16,1.0
Kolhapur,Janta Z.P School Redal,1,1,1,1,1,1,1,1,1,1,1,11,100.0,3876.0,17.9,18.4,13.4,12.1,13.0,0.8,0.6,0.8,54630.0,49525.0,33079.0,29789.0,119783.0,626.7,54.0,873.2,47.2,148371.0,56286.0,641442.0,181.0,93708.0,939988.0,626.7,10.6,36.5,873.2,40.1,38.1,7758.0,2.9,1.1,10.7,2.5,0.7,0.8,Very High,Very High,22.0,153.0,201.0,6722.0,38560.0,138814.0,1865.5,957.0,39.0,64.4,0.8,97.4,37.4,89.0,10.1,3.6,92.6,863.0,4.6,3.4,88.6,74.2,81.5,77.8,80.0,96.1,95.5,1675.0,867.0,1.9,847.0,11.0,690.0,146.0,85.4,,990339.0,95.6,Marathi,Pucca,10.0,2.0,2.0,2.0,1.0,1.0,1.0,State Level,Block Level,active,proactive,active,1.0,40.0,3.0,2.0,BED,2.0,House Wife,40000.0,HSC,1.0,Tobacco Free School,12.0,2.0,,15.0,2.0,3.0,2.0,2.0,2.0,,,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1,1.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,secondary,95.56,,,,,,,,,,,,,,,,16,1.0
Jalgaon,Z.P.P.School Ganeshpur,1,1,1,1,1,1,1,1,1,1,1,11,100.0,4230.0,19.7,19.1,9.3,9.1,9.2,18.6,5.0,14.3,38802.0,35239.0,22552.0,20369.0,81741.0,507.9,55.4,857.2,45.6,215734.0,136937.0,501934.0,2002.0,71344.0,927951.0,507.9,24.9,26.1,857.2,54.8,37.8,11263.0,5.4,1.5,14.4,2.8,0.6,0.7,Medium,High,28.0,144.0,80.0,6765.0,38834.0,149513.0,2174.8,925.0,32.0,44.7,1.7,80.3,29.3,53.1,46.7,12.1,65.2,842.0,4.7,4.2,85.4,70.6,78.2,73.7,58.9,92.0,89.6,1438.0,751.0,1.9,716.0,64.0,614.0,38.0,88.7,,941569.0,91.8,Marathi,Pucca,5.0,1.0,2.0,2.0,1.0,1.0,1.0,District Level,Block Level,active,proactive,active,1.0,54.0,3.0,2.0,BED,2.0,House Wife,1.0,BA,2.0,,4.0,2.0,,7.0,1.0,3.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,2.0,1.0,secondary,91.76,,,,,,,,,,,,,,,,16,1.0
Washim,Z. P. Khadki.,1,1,1,1,1,1,1,1,1,1,1,11,100.0,1197.0,21.1,19.5,20.3,13.8,19.2,7.9,1.5,6.7,10338.0,9522.0,5103.0,4643.0,81568.0,516.5,55.5,653.7,49.4,151572.0,40624.0,79166.0,1925.0,12915.0,286202.0,516.5,23.2,32.6,653.7,60.3,41.8,3020.0,5.7,1.3,14.9,2.8,0.6,0.6,Low,Low,38.0,145.0,40.0,6715.0,41098.0,146779.0,2953.6,930.0,23.7,54.5,2.1,95.8,23.0,65.2,34.7,6.8,72.0,863.0,4.6,4.1,90.5,75.5,83.2,80.5,74.7,97.1,95.6,634.0,285.0,2.2,278.0,13.0,219.0,46.0,41.1,,224736.0,89.0,Marathi,Pucca,4.0,2.0,2.0,2.0,1.0,1.0,2.0,,none,active,proactive,active,1.0,35.0,3.0,2.0,BED,2.0,Teacher,33000.0,HSC,1.0,Tobacco Free School,22.0,2.0,,2.0,9.0,1.0,1.0,2.0,2.0,,,0.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4,1.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,secondary,89.04,,,,,,,,,,,,,,,,16,1.0
Dhule,Karm S.C.Bedse Vidhyala Dhadne,1,1,1,1,1,1,1,1,1,1,1,11,100.0,2051.0,20.2,18.7,5.6,7.9,6.2,41.1,6.9,31.6,18867.0,17049.0,10770.0,9693.0,85706.0,489.7,56.6,753.6,47.8,143874.0,75482.0,202729.0,1718.0,101112.0,433915.0,489.7,27.1,31.9,753.6,48.9,43.0,6181.0,6.6,1.9,15.0,2.9,0.6,0.7,Low,Low,31.0,181.0,385.0,6397.0,36200.0,185523.0,1482.5,946.0,43.2,43.7,4.0,76.2,25.7,50.5,48.0,8.9,59.4,898.0,4.9,4.6,79.5,65.8,72.8,75.4,50.9,88.4,84.6,620.0,446.0,1.4,450.0,17.0,403.0,30.0,83.9,,407702.0,91.4,Marathi,Pucca,14.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,proactive,active,1.0,58.0,3.0,3.0,HSC,2.0,House Wife,1.0,BA,1.0,Cleanliness,30.0,2.0,,6.0,8.0,3.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,18,1.0
Nandurbar,National High School Taloda ,1,1,1,1,1,1,1,1,1,1,1,11,100.0,1648.0,23.0,19.9,2.2,6.3,2.9,79.7,17.3,69.3,9235.0,8448.0,5081.0,4601.0,56521.0,470.9,57.2,793.9,45.2,104352.0,105924.0,107079.0,1251.0,8272.0,326878.0,470.9,44.0,34.8,793.9,58.3,36.1,5794.0,8.0,3.1,16.3,4.6,0.5,0.6,Low,Low,30.0,257.0,76.0,4874.0,24369.0,88336.0,1513.0,978.0,40.9,22.1,4.3,60.6,24.3,25.4,73.0,8.6,34.0,944.0,4.9,4.4,72.2,56.5,64.4,76.9,55.0,84.9,77.3,599.0,387.0,1.5,374.0,62.0,216.0,96.0,56.8,,266790.0,91.5,Urdu,Pucca,8.0,1.0,1.0,2.0,1.0,1.0,1.0,Block Level,none,active,proactive,active,1.0,47.0,3.0,2.0,MA,1.0,Teacher,1.0,MA,1.0,Cleanliness,23.0,2.0,,15.0,0.0,2.0,1.0,2.0,2.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,6.0,1.0,1.0,secondary,,,,,,,,,,,,,,,,,17,1.0
Nanded,Z.P.P.School Anamal Ta Mahoor ,1,1,1,1,1,1,1,1,1,1,1,11,100.0,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,9.0,1.0,2.0,2.0,1.0,1.0,1.0,Cluster Level,Cluster Level ,active,proactive,active,1.0,57.0,3.0,2.0,Primary,2.0,House Wife,50000.0,BA,1.0,Tobacco Free School,32.0,2.0,,9.0,7.0,3.0,1.0,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,6.0,2.0,1.0,primary,,,,,,,,,,,,,,,,,17,1.0
Nanded,Z.P.P.School Barsgaon Ta. Ardhapur,1,1,1,1,1,1,1,1,1,1,1,11,100.0,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,9.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,proactive,active,1.0,52.0,3.0,3.0,Primary,2.0,House Wife,1.0,BA,1.0,Science Exhibition,33.0,2.0,,4.0,0.0,3.0,1.0,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,6.0,2.0,1.0,primary,,,,,,,,,,,,,,,,,17,1.0
Nanded,Z.P.P.School Kalka Ta. Khandhar ,1,1,1,1,1,1,1,1,1,1,1,11,100.0,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,9.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,proactive,active,1.0,51.0,3.0,3.0,Primary,2.0,House Wife,45000.0,SSC DED,1.0,Tobacco Free School,31.0,2.0,,4.0,8.0,2.0,1.0,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,primary,,,,,,,,,,,,,,,,,17,1.0
