i,j,cor,p
teachDiscChallenges,tobaccoFree,0.048190592939654886,0.048190592939654886
"parentEduLevl_Primary, secondary",tobaccoFree,0.04779826533550957,0.04779826533550957
STPropURBAN,tobaccoFree,0.04283390981509505,0.04283390981509505
youthPopAsWorker,tobaccoFree,0.04133866358776417,0.04133866358776417
LzRatioRURAL,tobaccoFree,0.03884475132809484,0.03884475132809484
rationAnna,tobaccoFree,0.03782246605600359,0.03782246605600359
staffReceivdTrainTF,tobaccoFree,0.03738007734585691,0.03738007734585691
HDIRS2011_High,tobaccoFree,0.03449443245283379,0.03449443245283379
mstTeachGoodExCurr,tobaccoFree,0.033485631060519716,0.033485631060519716
Dist_Gondia,tobaccoFree,0.03321471522979513,0.03321471522979513
prcplEdu_DED,tobaccoFree,0.029931823824244308,0.029931823824244308
popPerGovBed,tobaccoFree,0.020460464903802156,0.020460464903802156
rationYAAY,tobaccoFree,0.01843383511415897,0.01843383511415897
mstParentsSchoolEvents,tobaccoFree,0.015360532009251804,0.015360532009251804
mstTeachParticipateExCurr,tobaccoFree,0.01302111145248852,0.01302111145248852
HDIRS2001_High,tobaccoFree,0.01050714881342163,0.01050714881342163
APPTWAMainW,tobaccoFree,0.010492844433209636,0.010492844433209636
localTrust_passive,tobaccoFree,0.010254196976228647,0.010254196976228647
prcplIncome,tobaccoFree,0.008294475978717242,0.008294475978717242
prcplSchemeOther,tobaccoFree,0.005035523351280657,0.005035523351280657
prcplSpouseOccu_Officer,tobaccoFree,0.002380270441999399,0.002380270441999399
sports_Regional,tobaccoFree,0.002380270441999399,0.002380270441999399
EngMedium_Eng,tobaccoFree,0.002380270441999399,0.002380270441999399
prcplSpouseEdu_HSC,tobaccoFree,0.002100997487452738,0.002100997487452738
sports_District Level,tobaccoFree,0.0018219691170832109,0.0018219691170832109
prcplSpouseEdu_SSC,tobaccoFree,0.0016849363533575357,0.0016849363533575357
prcplSpouseWork,tobaccoFree,0.0006108379960751975,0.0006108379960751975
mstTeachGoodAcademics,tobaccoFree,0.00038046225354049223,0.00038046225354049223
EngMedium_Marathi,tobaccoFree,0.00037589337341714657,0.00037589337341714657
mstTeachNotInterest,tobaccoFree,0.00034023154482487605,0.00034023154482487605
prcplEdu_HSC,tobaccoFree,0.00032906507607077806,0.00032906507607077806
remark_passive,tobaccoFree,0.00023410745794483212,0.00023410745794483212
haveInternet,tobaccoFree,0.0002276487502033131,0.0002276487502033131
IMR_2010,tobaccoFree,0.00022195732335239526,0.00022195732335239526
prcplSpouseOccu_Service,tobaccoFree,0.00014424204898055848,0.00014424204898055848
isChangeDifficult,tobaccoFree,0.00010735424576524544,0.00010735424576524544
parentEduLevl_secondary,tobaccoFree,8.723634084173426e-05,8.723634084173426e-05
prcplInternetSavy,tobaccoFree,8.326195489782862e-05,8.326195489782862e-05
SchoolInfra_Pucca,tobaccoFree,2.0126034881773336e-05,2.0126034881773336e-05
Q5A,tobaccoFree,1.8461802550051587e-06,1.8461802550051587e-06
ruleFollow_passive,tobaccoFree,1.4500992765453802e-06,1.4500992765453802e-06
Dist_Chandrapur,tobaccoFree,1.2232854759153255e-06,1.2232854759153255e-06
Q2,tobaccoFree,4.067310978017602e-07,4.067310978017602e-07
extraCurrLevel_State Level,tobaccoFree,1.0844872888604584e-07,1.0844872888604584e-07
prcplSpouseEdu_BED,tobaccoFree,8.440909149420861e-08,8.440909149420861e-08
Q1,tobaccoFree,2.1102359415436922e-08,2.1102359415436922e-08
numBlank ,tobaccoFree,1.668920912578642e-08,1.668920912578642e-08
teachNumTraining,tobaccoFree,3.1363285302177246e-09,3.1363285302177246e-09
localTrust_active,tobaccoFree,1.7211896352620215e-09,1.7211896352620215e-09
Dist_Yavatmal,tobaccoFree,1.2413350347628693e-09,1.2413350347628693e-09
extraCurrLevel_District Level,tobaccoFree,7.126843559746021e-10,7.126843559746021e-10
prcplchoolAward,tobaccoFree,9.910960940828772e-13,9.910960940828772e-13
Q4,tobaccoFree,4.0401015866109447e-13,4.0401015866109447e-13
prcplSpouseEdu_none,tobaccoFree,1.0880185641326534e-14,1.0880185641326534e-14
ruleFollow_proactive,tobaccoFree,3.3306690738754696e-16,3.3306690738754696e-16
remark_active,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
extraCurrLevel_none,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
extraCurrLevel_Cluster Level ,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
extraCurrLevel_Block Level,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
prcplSpouseOccu_House Wife,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
Q3,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
totalCriteria,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
percCriteria,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
Q10,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
Q11,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
Q6,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
Q8,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
Q9,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
Q7,tobaccoFree,1.1102230246251565e-16,1.1102230246251565e-16
